Country,Population
China,153
India,464
Indonesia,151
Pakistan,287
Bangladesh,1265
Japan,347
Philippines,368
Vietnam,314
Turkey,110
Iran,52
Thailand,137
Myanmar,83
South Korea,527
Iraq,93
Afghanistan,60
Saudi Arabia,16
Uzbekistan,79
Malaysia,99
Yemen,56
Nepal,203
North Korea,214
Taiwan,673
Sri Lanka,341
Kazakhstan,7
Syria,95
Cambodia,95
Jordan,115
Azerbaijan,123
United Arab Emirates,118
Tajikistan,68
Israel,400
Hong Kong,7140
Laos,32
Lebanon,667
Kyrgyzstan,34
Turkmenistan,13
Singapore,8358
Palestine,847
Oman,16
Kuwait,240
Georgia,57
Mongolia,2
Armenia,104
Qatar,248
Bahrain,2239
East Timor,89
Northern Cyprus,131
Bhutan,20
Macao,21645
Maldives,1802
Brunei,83
